"profile_id","username","display_name","avatar_url","total_xp","season_id","week","weekly_xp","cumulative_xp","rank"
"23373","Tomamamama123","idnaffa (???)","https://pbs.twimg.com/profile_images/1942246792646770688/oTBmIJtn.jpg","2657","0",,"2657","2600","8419"
"26314","kuntal_singhvi","Kuntal Singhvi.eth","https://pbs.twimg.com/profile_images/1894271302938120192/4FWzIAQj.jpg","2605","0",,"2605","2600","8420"
"27492","blurschain","blurschaiN","https://pbs.twimg.com/profile_images/1943678344232419328/50b-ZNjF.jpg","4256","0",,"4256","2600","8421"
"28222","pranaytrades","Pranayy (???)","https://pbs.twimg.com/profile_images/1957023447038488577/oMyDZvQc.jpg","2600","0",,"2600","2600","8422"
"8816","dunexbt_","Dune","https://pbs.twimg.com/profile_images/1966258438792687622/pXHnJRJS.jpg","3263","0",,"3263","2599","8423"
"22313","natzcrypto","natz ??","https://pbs.twimg.com/profile_images/1758014112452227073/DoJbj8A2.jpg","2599","0",,"2599","2599","8424"
"20369","SulleyHabeeb","Rodrigo Gambling LLC","https://pbs.twimg.com/profile_images/1943742117559377920/QKB6k1vV.jpg","2598","0",,"2598","2598","8425"
"27013","entoni_7","entoni_","https://pbs.twimg.com/profile_images/1954188233526439936/_06st-an.jpg","2596","0",,"2596","2596","8426"
"15671","PloydReserve","Ployd (mainnet arc)","https://pbs.twimg.com/profile_images/1944696492247134208/JIT4xnkW.jpg","2595","0",,"2595","2595","8427"
"13477","defiturkiye","PaTrOn","https://pbs.twimg.com/profile_images/1942335866237595648/H0EXs5oX.jpg","2593","0",,"2593","2593","8428"
"9819","HHisnothing","HHisnothing????","https://pbs.twimg.com/profile_images/1961669321425653768/9PlxULvD.jpg","4912","0",,"4912","2592","8429"
"16048","dgkorojr","KoroJR","https://pbs.twimg.com/profile_images/1892493345324195841/Jybtx7aq.jpg","2891","0",,"2891","2591","8430"
"23311","David_inans","Son of Ukiyo ??(?,?) $RVV","https://pbs.twimg.com/profile_images/1854958435571253248/Tyos-_HQ.jpg","2591","0",,"2591","2591","8431"
"15295","motototo057","Nft world","https://pbs.twimg.com/profile_images/1940381604594978816/ztnx6-mY.jpg","2590","0",,"2590","2590","8432"
"23624","elfelfffff","elif","https://pbs.twimg.com/profile_images/1832503887749648384/Af--H5N6.jpg","2584","0",,"2584","2584","8433"
"8435","Zygomatikdan","zygo23.eth","https://pbs.twimg.com/profile_images/1954990425925939200/ngj2UwnV.jpg","3702","0",,"3702","2582","8434"
"7341","Vorp0x","Vorp","https://pbs.twimg.com/profile_images/1945632700393562112/09z9kH5W.jpg","2580","0",,"2580","2580","8435"
"28385","palaley52","Bohdan Kherson","https://pbs.twimg.com/profile_images/1960641844745764864/dszCMK4v.jpg","2580","0",,"2580","2580","8436"
"16399","davut1karabulut","davut1karabulut | TOKEN","https://pbs.twimg.com/profile_images/1477258190651805700/RChEYDdt.jpg","2579","0",,"2579","2579","8437"
"19369","ramarxyz","ramar","https://pbs.twimg.com/profile_images/1889496052538994688/JWQOOnY5.jpg","2579","0",,"2579","2579","8438"
"17269","mksyfullah","Khalid","https://pbs.twimg.com/profile_images/1932696014454206464/XU3ZkJTm.jpg","2578","0",,"2578","2578","8439"
"25660","Spidyxddd","spidy.sui","https://pbs.twimg.com/profile_images/1938252531290775552/8XhinPYR.jpg","2576","0",,"2576","2576","8440"
"11509","dregistblog","Drey.sol","https://pbs.twimg.com/profile_images/1602057076548698113/bxx609SV.jpg","3205","0",,"3205","2575","8441"
"19969","Noble_g6","??Noble_6??????","https://pbs.twimg.com/profile_images/1924997862103924737/jDhU9QV5.jpg","2574","0",,"2574","2574","8442"
"22318","Normanwill007","Mr Norman","https://pbs.twimg.com/profile_images/1939047293522419713/M95_ynTD.jpg","2572","0",,"2572","2572","8443"
"21571","chowqinqin712","chowqinqin712 8780.era","https://pbs.twimg.com/profile_images/1642169375854858241/t3w8AXxC.jpg","2566","0",,"2566","2566","8444"
"4829","SinsNFT","Sins","https://pbs.twimg.com/profile_images/1868641019090403328/mQrWr007.jpg","2565","0",,"2565","2565","8445"
"6908","TheSocialTrauma","T?h?e?S?o?c?i?a?l?T?r?a?u?m?a?","https://pbs.twimg.com/profile_images/1924727592558456832/7aODG2t3.jpg","2583","0",,"2583","2565","8446"
"9344","AbiolaBiobeng","Biobeng!??","https://pbs.twimg.com/profile_images/1790067498357776385/K90SURu2.jpg","2580","0",,"2580","2565","8447"
"10367","_preshyo","0xPresh","https://pbs.twimg.com/profile_images/1930929924438638592/LTBNp_0o.jpg","2570","0",,"2570","2565","8448"
"11906","Fixda2","Fixda","https://pbs.twimg.com/profile_images/1952719891837935616/l2OzZ9RP.png","5063","0",,"5063","2563","8449"
"15460","Straussaae","sae.hype","https://pbs.twimg.com/profile_images/1939083093056323584/h3uIdxoK.jpg","2563","0",,"2563","2563","8450"
"6355","zayzay0_","ZayZay","https://pbs.twimg.com/profile_images/1900200486604533761/5rVA7XQ6.jpg","2821","0",,"2821","2561","8451"
"7711","theJVB","Justin Van Buren","https://pbs.twimg.com/profile_images/1745930463901007872/H7EXhfXW.jpg","2560","0",,"2560","2560","8452"
"11139","Blackhaarjay","J A Y S U L O S E Y I","https://pbs.twimg.com/profile_images/1899050024836677632/2SQJsJAM.jpg","4310","0",,"4310","2560","8453"
"9132","Thathunterguy_","That Hunter Guy ????","https://pbs.twimg.com/profile_images/1952536733444186112/wphcgJ8j.jpg","2557","0",,"2557","2557","8454"
"16229","Di_n_ma","?????????? ???????????? (?,?)","https://pbs.twimg.com/profile_images/1895790847129526272/8CGG7XFo.jpg","2557","0",,"2557","2557","8455"
"22478","TizzyTravis","Travis.lens ??,?? ??","https://pbs.twimg.com/profile_images/1958389213994307584/sF5UiJcO.png","2556","0",,"2556","2556","8456"
"17329","LazyLionNik","nickhil","https://pbs.twimg.com/profile_images/1927686571484205056/sWPqofr4.jpg","2554","0",,"2554","2554","8457"
